SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
4,1,0AB,5,000003CB,0,000003BF,0,00000000,0,00000000,0,00000000,0,00000000,0,2
4,2,0F1,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
4,3,0CB,3,0001690C,3,00016910,3,000053FD,3,00000000,0,00000000,0,00000000,0,C
4,4,02C,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
4,5,0B1,3,00004837,3,00007E6A,3,000077B2,3,00000000,0,00000000,0,00000000,0,2
4,6,2BF,2,0EDCB5CC,3,0ECC0F93,3,0000B5CC,0,00000000,0,00000000,0,00000000,0,1
4,7,2FA,2,0EDCE6B1,3,0EDBDF18,3,00000000,0,00000000,0,00000000,0,00000000,0,1
4,8,0BF,3,00000169,0,00006A83,0,000006C7,0,00000000,0,00000000,0,00000000,0,1
4,9,1EF,4,000019A4,3,00000B3D,2,000019F0,3,000019F6,3,00000000,0,00000000,0,0
4,10,29F,2,0EDB84AF,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
4,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
4,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
4,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
4,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
4,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,0,0BD,3,00000F0C,3,00000EDF,3,0000CB59,3,00000000,0,00000000,0,00000000,0,5
5,1,00E,3,0000C211,3,00013B1F,3,0000AC83,3,00000000,0,00000000,0,00000000,0,5
5,2,038,3,00006B2F,3,0000D53E,3,00006B24,2,00000000,0,00000000,0,00000000,0,A
5,3,09B,3,000029CD,3,00012876,3,000029DB,3,00000000,0,00000000,0,00000000,0,1
5,4,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
5,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,0,0DA,2,0EDFF40C,3,0EDF7755,3,00000000,0,00000000,0,00000000,0,00000000,0,B
6,1,0F1,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,6
6,2,2BF,2,0EDCE105,2,0ECCE92C,3,0000E10A,0,00000000,0,00000000,0,00000000,0,1
6,3,09B,3,0000DA29,3,00001700,3,00000000,0,00000000,0,00000000,0,00000000,0,2
6,4,0CD,3,000095C9,2,00003B49,2,0000C076,3,00000000,0,00000000,0,00000000,0,8
6,5,2FA,3,0003C789,3,00001AD6,2,0000114C,3,00000000,0,00000000,0,00000000,0,2
6,6,1EF,4,0000113C,3,00001151,3,00001145,3,00001A25,3,00000000,0,00000000,0,1
6,7,2B1,2,0EDBD3D1,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
6,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
